conv1_out,conv2_out,stride,kernel_size,padding,optimizer,lr,momentum,batch_size,epochs,val_accuracy
16,32,1,3,1,SGD,0.001,0.0,16,5,0.8357777777777777
16,32,1,3,1,SGD,0.001,0.0,32,5,0.8033333333333333
16,32,1,3,1,SGD,0.001,0.0,64,5,0.7604444444444445
16,32,1,3,1,SGD,0.001,0.5,16,5,0.8403333333333334
16,32,1,3,1,SGD,0.001,0.5,32,5,0.8322222222222222
16,32,1,3,1,SGD,0.001,0.5,64,5,0.7965555555555556
16,32,1,3,1,SGD,0.001,0.9,16,5,0.895
16,32,1,3,1,SGD,0.001,0.9,32,5,0.8852222222222222
16,32,1,3,1,SGD,0.001,0.9,64,5,0.8661111111111112
16,32,1,3,1,SGD,0.01,0.0,16,5,0.9001111111111111
16,32,1,3,1,SGD,0.01,0.0,32,5,0.8764444444444445
16,32,1,3,1,SGD,0.01,0.0,64,5,0.8665555555555555
16,32,1,3,1,SGD,0.01,0.5,16,5,0.895
16,32,1,3,1,SGD,0.01,0.5,32,5,0.8953333333333333
16,32,1,3,1,SGD,0.01,0.5,64,5,0.8835555555555555
16,32,1,3,1,SGD,0.01,0.9,16,5,0.9003333333333333
16,32,1,3,1,SGD,0.01,0.9,32,5,0.9133333333333333
16,32,1,3,1,SGD,0.01,0.9,64,5,0.9082222222222223
16,32,1,3,2,SGD,0.001,0.0,16,5,0.8431111111111111
16,32,1,3,2,SGD,0.001,0.0,32,5,0.7943333333333333
16,32,1,3,2,SGD,0.001,0.0,64,5,0.7532222222222222
16,32,1,3,2,SGD,0.001,0.5,16,5,0.8476666666666667
16,32,1,3,2,SGD,0.001,0.5,32,5,0.8132222222222222
16,32,1,3,2,SGD,0.001,0.5,64,5,0.7885555555555556
16,32,1,3,2,SGD,0.001,0.9,16,5,0.89
16,32,1,3,2,SGD,0.001,0.9,32,5,0.8803333333333333
16,32,1,3,2,SGD,0.001,0.9,64,5,0.8673333333333333
16,32,1,3,2,SGD,0.01,0.0,16,5,0.892
16,32,1,3,2,SGD,0.01,0.0,32,5,0.8828888888888888
16,32,1,3,2,SGD,0.01,0.0,64,5,0.8498888888888889
16,32,1,3,2,SGD,0.01,0.5,16,5,0.9026666666666666
16,32,1,3,2,SGD,0.01,0.5,32,5,0.8956666666666667
16,32,1,3,2,SGD,0.01,0.5,64,5,0.8815555555555555
16,32,1,3,2,SGD,0.01,0.9,16,5,0.9133333333333333
16,32,1,3,2,SGD,0.01,0.9,32,5,0.9131111111111111
16,32,1,3,2,SGD,0.01,0.9,64,5,0.9022222222222223
16,32,1,5,1,SGD,0.001,0.0,16,5,0.8007777777777778
16,32,1,5,1,SGD,0.001,0.0,32,5,0.7678888888888888
16,32,1,5,1,SGD,0.001,0.0,64,5,0.7267777777777777
16,32,1,5,1,SGD,0.001,0.5,16,5,0.8344444444444444
16,32,1,5,1,SGD,0.001,0.5,32,5,0.8195555555555556
16,32,1,5,1,SGD,0.001,0.5,64,5,0.7735555555555556
16,32,1,5,1,SGD,0.001,0.9,16,5,0.8981111111111111
16,32,1,5,1,SGD,0.001,0.9,32,5,0.8775555555555555
16,32,1,5,1,SGD,0.001,0.9,64,5,0.8503333333333334
16,32,1,5,1,SGD,0.01,0.0,16,5,0.8843333333333333
16,32,1,5,1,SGD,0.01,0.0,32,5,0.8811111111111111
16,32,1,5,1,SGD,0.01,0.0,64,5,0.857
16,32,1,5,1,SGD,0.01,0.5,16,5,0.9045555555555556
16,32,1,5,1,SGD,0.01,0.5,32,5,0.8885555555555555
16,32,1,5,1,SGD,0.01,0.5,64,5,0.8762222222222222
16,32,1,5,1,SGD,0.01,0.9,16,5,0.9017777777777778
16,32,1,5,1,SGD,0.01,0.9,32,5,0.9056666666666666
16,32,1,5,1,SGD,0.01,0.9,64,5,0.9112222222222223
16,32,1,5,2,SGD,0.001,0.0,16,5,0.824
16,32,1,5,2,SGD,0.001,0.0,32,5,0.7723333333333333
16,32,1,5,2,SGD,0.001,0.0,64,5,0.7571111111111111
16,32,1,5,2,SGD,0.001,0.5,16,5,0.8585555555555555
16,32,1,5,2,SGD,0.001,0.5,32,5,0.8017777777777778
16,32,1,5,2,SGD,0.001,0.5,64,5,0.7954444444444444
16,32,1,5,2,SGD,0.001,0.9,16,5,0.8952222222222223
16,32,1,5,2,SGD,0.001,0.9,32,5,0.8862222222222222
16,32,1,5,2,SGD,0.001,0.9,64,5,0.8626666666666667
16,32,1,5,2,SGD,0.01,0.0,16,5,0.8946666666666667
16,32,1,5,2,SGD,0.01,0.0,32,5,0.8734444444444445
16,32,1,5,2,SGD,0.01,0.0,64,5,0.8617777777777778
16,32,1,5,2,SGD,0.01,0.5,16,5,0.9098888888888889
16,32,1,5,2,SGD,0.01,0.5,32,5,0.8963333333333333
16,32,1,5,2,SGD,0.01,0.5,64,5,0.8821111111111111
16,32,1,5,2,SGD,0.01,0.9,16,5,0.9044444444444445
16,32,1,5,2,SGD,0.01,0.9,32,5,0.913
16,32,1,5,2,SGD,0.01,0.9,64,5,0.9093333333333333
16,64,1,3,1,SGD,0.001,0.0,16,5,0.8167777777777778
16,64,1,3,1,SGD,0.001,0.0,32,5,0.7932222222222223
16,64,1,3,1,SGD,0.001,0.0,64,5,0.7661111111111111
16,64,1,3,1,SGD,0.001,0.5,16,5,0.8695555555555555
16,64,1,3,1,SGD,0.001,0.5,32,5,0.8431111111111111
16,64,1,3,1,SGD,0.001,0.5,64,5,0.8033333333333333
16,64,1,3,1,SGD,0.001,0.9,16,5,0.9015555555555556
16,64,1,3,1,SGD,0.001,0.9,32,5,0.8812222222222222
16,64,1,3,1,SGD,0.001,0.9,64,5,0.8696666666666667
16,64,1,3,1,SGD,0.01,0.0,16,5,0.894
16,64,1,3,1,SGD,0.01,0.0,32,5,0.8844444444444445
16,64,1,3,1,SGD,0.01,0.0,64,5,0.8605555555555555
16,64,1,3,1,SGD,0.01,0.5,16,5,0.9068888888888889
16,64,1,3,1,SGD,0.01,0.5,32,5,0.8914444444444445
16,64,1,3,1,SGD,0.01,0.5,64,5,0.89
16,64,1,3,1,SGD,0.01,0.9,16,5,0.9185555555555556
16,64,1,3,1,SGD,0.01,0.9,32,5,0.9232222222222223
16,64,1,3,1,SGD,0.01,0.9,64,5,0.9154444444444444
16,64,1,3,2,SGD,0.001,0.0,16,5,0.8255555555555556
16,64,1,3,2,SGD,0.001,0.0,32,5,0.8107777777777778
16,64,1,3,2,SGD,0.001,0.0,64,5,0.7595555555555555
16,64,1,3,2,SGD,0.001,0.5,16,5,0.8615555555555555
