,epochs,batch_size,lr,momentum,decay,val_accuracy
0,50,64,0.01,0.9,1e-06,0.8795555555555555
1,50,64,0.01,0.9,1e-07,0.8818888888888889
2,50,64,0.01,0.95,1e-06,0.8712222222222222
3,50,64,0.01,0.95,1e-07,0.8688888888888889
4,50,64,0.001,0.9,1e-06,0.8724444444444445
5,50,64,0.001,0.9,1e-07,0.8726666666666667
6,50,64,0.001,0.95,1e-06,0.8773333333333333
7,50,64,0.001,0.95,1e-07,0.8837777777777778
8,50,128,0.01,0.9,1e-06,0.8814444444444445
9,50,128,0.01,0.9,1e-07,0.8814444444444445
10,50,128,0.01,0.95,1e-06,0.8787777777777778
11,50,128,0.01,0.95,1e-07,0.8852222222222222
12,50,128,0.001,0.9,1e-06,0.8688888888888889
13,50,128,0.001,0.9,1e-07,0.8708888888888889
14,50,128,0.001,0.95,1e-06,0.878
15,50,128,0.001,0.95,1e-07,0.8763333333333333
16,50,256,0.01,0.9,1e-06,0.8796666666666667
17,50,256,0.01,0.9,1e-07,0.8738888888888889
18,50,256,0.01,0.95,1e-06,0.8734444444444445
19,50,256,0.01,0.95,1e-07,0.8735555555555555
20,50,256,0.001,0.9,1e-06,0.8537777777777777
21,50,256,0.001,0.9,1e-07,0.8604444444444445
22,50,256,0.001,0.95,1e-06,0.8677777777777778
23,50,256,0.001,0.95,1e-07,0.8654444444444445
0,100,64,0.01,0.9,1e-06,0.8831111111111111
1,100,64,0.01,0.9,1e-07,0.8767777777777778
2,100,64,0.01,0.95,1e-06,0.8667777777777778
3,100,64,0.01,0.95,1e-07,0.8746666666666667
4,100,64,0.001,0.9,1e-06,0.8783333333333333
5,100,64,0.001,0.9,1e-07,0.8774444444444445
6,100,64,0.001,0.95,1e-06,0.8834444444444445
7,100,64,0.001,0.95,1e-07,0.8767777777777778
8,100,128,0.01,0.9,1e-06,0.8786666666666667
9,100,128,0.01,0.9,1e-07,0.8772222222222222
10,100,128,0.01,0.95,1e-06,0.875
11,100,128,0.01,0.95,1e-07,0.8715555555555555
12,100,128,0.001,0.9,1e-06,0.8726666666666667
13,100,128,0.001,0.9,1e-07,0.8783333333333333
14,100,128,0.001,0.95,1e-06,0.8785555555555555
15,100,128,0.001,0.95,1e-07,0.8801111111111111
16,100,256,0.01,0.9,1e-06,0.8755555555555555
17,100,256,0.01,0.9,1e-07,0.8797777777777778
18,100,256,0.01,0.95,1e-06,0.8763333333333333
19,100,256,0.01,0.95,1e-07,0.8714444444444445
20,100,256,0.001,0.9,1e-06,0.8692222222222222
21,100,256,0.001,0.9,1e-07,0.8674444444444445
22,100,256,0.001,0.95,1e-06,0.8752222222222222
23,100,256,0.001,0.95,1e-07,0.8763333333333333
